Date,Arrivals - Guests from Switzerland,Arrivals - Guests from abroad,Arrivals - Total,Overnight stays - Guests from Switzerland,Overnight stays - Guests from abroad - Total,Overnight stays - Guests from abroad - Of which - United States,Overnight stays - Guests from abroad - Of which - China,Overnight stays - Guests from abroad - Of which - India,Overnight stays - Guests from abroad - Of which - Japan,Overnight stays - Guests from abroad - Of which - Korea; Republic of (South Korea),Overnight stays - Guests from abroad - Of which - Europe - Belgium,Overnight stays - Guests from abroad - Of which - Europe - Germany,Overnight stays - Guests from abroad - Of which - Europe - France,Overnight stays - Guests from abroad - Of which - Europe - Italy,Overnight stays - Guests from abroad - Of which - Europe - United Kingdom,Overnight stays - Total,Sex,Age,AgeGroup,Tourism expenditure in the country - US$ Mn (country)
31/12/2019,9279.36,10485.197,19764.557,17922.428,21639.611,2474.36,1392.034,792.607,389.437,438.204,636.425,3925.653,1277.105,887.679,1641.429,39562.039,1,18,Newborn,490
31/12/2018,8991.073,10362.01,19353.083,17413.041,21393.736,2252.701,1359.519,809.94,382.585,456.25,610.254,3891.896,1285.857,919.812,1652.318,38806.777,0,17,Childhood,365
31/12/2017,8672.753,9889.308,18562.061,16919.875,20472.865,2046.38,1279.216,739.185,408.258,457.212,587.573,3745.134,1244.402,927.346,1615.669,37392.74,0,15,Adolescence,340
31/12/2016,8273.13,9204.802,17477.932,16244.561,19288.015,1834.5,1130.925,599.062,361.053,339.473,538.56,3703.753,1244.607,919.827,1633.232,35532.576,2,15,Adolescence,483
31/12/2015,8124.788,9304.633,17429.421,16052.181,19576.295,1738.838,1378.434,591.924,394.784,317.022,566.201,3853.18,1254.447,936.913,1640.457,35628.476,2,16,Adolescence,484
31/12/2014,8003.793,9158.26,17162.053,16026.135,19907.377,1644.424,1034.275,485.216,439.894,263.189,625.58,4394.457,1337.882,1014.058,1667.437,35933.512,1,16,Adolescence,462
31/12/2013,7863.745,8967.432,16831.177,15889.226,19734.657,1585.467,894.316,467.967,491.651,187.966,643.365,4573.496,1350.164,980.646,1640.091,35623.883,0,16,Adolescence,516
31/12/2012,7731.73,8566.037,16297.767,15690.035,19076.238,1525.178,743.656,474.882,509.757,172.467,620.658,4625.384,1318.46,971.776,1544.236,34766.273,0,17,Childhood,472
31/12/2011,7694.682,8534.305,16228.987,15752.367,19733.889,1492.131,595.264,460.44,479.743,167.866,678.517,5207.892,1394.166,1007.519,1699.747,35486.256,1,35,Old age,420
31/12/2010,7574.29,8628.284,16202.574,15765.304,20442.508,1506.435,404.218,392.852,507.138,135.377,742.277,5816.52,1449.278,1074.447,1853.557,36207.812,1,15,Old age,463
31/12/2009,7270.576,8293.918,15564.494,15424.468,20164.425,1382.856,271.717,324.28,474.72,106.7,775.09,6031.325,1433.452,1137.588,1856.22,35588.893,1,15,Old age,409
31/12/2008,7389.04,8608.337,15997.377,15825.473,21508.296,1518.376,214.349,327.3,493.901,137.376,829.194,6313.24,1439.158,1157.902,2281.701,37333.769,1,55,Senior,384
31/12/2007,7184.824,8447.718,15632.542,15447.065,20917.735,1664.929,230.18,336.966,554.861,160.916,798.808,6081.92,1367.457,1133.626,2275.895,36364.8,2,15,Old age,280
31/12/2006,6948.392,7862.957,14811.349,15203.977,19644.449,1659.064,205.355,284.39,594.951,136.289,767.64,5757.096,1269.871,1057.218,2202.324,34848.426,1,45,Old age,291
